Organization Name,Organization Name URL,Founded Date,Founded Date Precision,Full Description,Industries,Headquarters Location,Description,CB Rank (Company)
Innosphere,https://www.crunchbase.com/organization/tech-innosphere-engineering,2015-11-01,day,"Innosphere is a wearable medical device that treats ADHD without side effects. With its patented technologies, and in collaboration with Yale University and the University of Oxford, InnosSphere has achieved significant clinical results and alleviates ADHD symptoms in clinical trials at Hadassah Medical Center in Jerusalem and at King’s College of London. They offer hope for long-term improvement in the quality of life of millions of patients.  InnoSphere technology is based on recent collaborative research conducted with leading worldwide institutes and universities in the field of cognitive neuroscience. InnoSphere was founded by Gilad Israeli in 2016.","Biotechnology, Health Care, Health Diagnostics, Medical Device, Wearables","Haifa, Hefa, Israel",Innosphere is a wearable medical device that treats ADHD without side effects.,"420,428"
Nano Carry,https://www.crunchbase.com/organization/nano-carry,2021-01-01,year,Nano Carry is a technology platform for the safe and effective delivery of biologics to the brain.,"Biotechnology, Life Science, Pharmaceutical, Professional Services, Therapeutics","Ness Ziona, HaMerkaz, Israel",Nano Carry is a technology platform for the safe and effective delivery of biologics to the brain.,"426,033"
shopUpz,https://www.crunchbase.com/organization/shopupz,2016-01-01,year,shopUpz develops the next generation of reviews for e-commerce.   cognitive video reviews platform. Automatically Collects  the latest product video reviews form social networks. Analyze each video review and provide review sentiments (positive/negative reviews). shopUpz will display the right video review on the right e-commerce product page at the right time. The results: Increase sales. Increase SEO. Reduce product returns.,"B2B, Consumer Reviews, E-Commerce, SaaS, Video","Tel Aviv, Tel Aviv, Israel",The Intelligent Video Hub,"427,824"
Prospec,https://www.crunchbase.com/organization/prospec-tany-technogene,2001-01-01,day,"ProSpec is an evolving biotech company providing highly purified proteins worldwide which serve the research community with cytokine-related products for cancer, apoptosis, development, endocrinology, immunology, neuroscience, proteases, and stem cell research. ProSpec has established a sterling reputation among the scientific community, a reputation built on innovative products, customer service and attention to detail. Our reputation for quality is an essential factor in achieving a favorable position in the market place and the benefits associated with manufacturing top quality products. ProSpec has relocated its Israeli offices & Headquarters into an incredible new office space. Designed by Levin Architects, the impressive and spacious 700sqm/7500sqf offices occupies the 6th floor in a brand new 2014 high end ""Top-Science"" building which is one of the largest Bio-Tech/Hi-Tech qualitative projects located at the Rehovot Science Park.","Biotechnology, Health Care, Life Science","Rehovot, HaMerkaz, Israel",ProSpec is an evolving biotech company providing highly purified proteins worldwide.,"430,342"
Eco Fusion,https://www.crunchbase.com/organization/eco-fusion,2014-01-01,year,"Eco-Fusion is a digital therapeutics (DTx) company that offers a comprehensive mobile apps and active wearables to address a wealth of medical conditions (including stress, diabetes, obesity, and heart disease).","Cannabis, Diabetes, Health Care, Neuroscience, Personal Health, Therapeutics, Wellness","Tel Aviv, Tel Aviv, Israel",Personalized digital Therapeutics (DTx),"430,612"
CoachAi,https://www.crunchbase.com/organization/coachai,2016-01-01,year,"CoachAi uses artificial intelligence and behavioral psychology to create lasting behavioral change. CoachAi drastically improves health clubs’ member engagement and retention. Using proven behavioral science, CoachAi helps members achieve their fitness goals and make exercise into a regular part of their lives.","Artificial Intelligence (AI), Fitness, Health Care, Psychology, Software, Wellness","Herzliya, Tel Aviv, Israel",CoachAi uses artificial intelligence and behavioral psychology to create lasting behavioral change.,"459,164"
Heat Intelligence,https://www.crunchbase.com/organization/heat-intelligence,2016-01-01,year,"Heat is a cloud service for intelligence on demand, providing cognitive services in real time by a hybrid cloud of humans and AI. Heat processes digital tasks such a data gathering, text classification and moderation, image editing, etc. New tasks are processed by a real-time human crowd, while AI is trained on the accumulated data.","Artificial Intelligence (AI), Computer, Information Technology, Software","Tel Aviv, Tel Aviv, Israel","Heat is a cloud service for intelligence on demand, providing cognitive services in real time by a hybrid cloud of humans and AI.","461,652"
Effectivate,https://www.crunchbase.com/organization/acerar-effectivate,2018-01-01,day,"Effectivate is an innovative web-based neuro-wellness application. The company is developing a product that enables brain training in a pleasant, professional and challenging way.","Health Care, Wellness","Tel Aviv, Tel Aviv, Israel",Effectivate is an innovative web-based neuro-wellness application.,"472,586"
HeadSense Medical,https://www.crunchbase.com/organization/headsense-medical,2011-01-01,year,"HeadSense Medical is an early stage company operating in both the U.S. and Israel, developing a platform for a non-invasive brain diagnostic device with monitoring applications.   HeadSense’s first product is a validated and CE Mark approved non-invasive ICP monitor. The company is currently developing additional applications for cerebral vasospasm diagnosis, concussion diagnosis, TBI severity quantification, and others.","Health Care, Health Diagnostics, Medical Device","Netanya, HaMerkaz, Israel",HeadSense Medical develops non-invasive intra cranial pressure monitoring devices.,"496,123"
Neuro Help,https://www.crunchbase.com/organization/neuro-help,2020-01-01,year,,"Manufacturing, Medical, Medical Device","Ramat Gan, Tel Aviv, Israel",Neuro Help is a company that designs and develops neurotechnological solutions patients with neurological conditions.,"499,242"
